Category: All categories

Month,Citibank: (Worldwide)
2004-01,66
2004-02,63
2004-03,61
2004-04,64
2004-05,64
2004-06,69
2004-07,76
2004-08,81
2004-09,76
2004-10,76
2004-11,67
2004-12,72
2005-01,71
2005-02,71
2005-03,69
2005-04,68
2005-05,69
2005-06,77
2005-07,79
2005-08,81
2005-09,73
2005-10,72
2005-11,70
2005-12,77
2006-01,78
2006-02,77
2006-03,77
2006-04,78
2006-05,79
2006-06,86
2006-07,91
2006-08,93
2006-09,85
2006-10,82
2006-11,83
2006-12,90
2007-01,87
2007-02,84
2007-03,85
2007-04,89
2007-05,86
2007-06,89
2007-07,97
2007-08,99
2007-09,91
2007-10,91
2007-11,91
2007-12,95
2008-01,99
2008-02,89
2008-03,90
2008-04,93
2008-05,92
2008-06,92
2008-07,100
2008-08,94
2008-09,97
2008-10,94
2008-11,93
2008-12,93
2009-01,90
2009-02,92
2009-03,98
2009-04,92
2009-05,86
2009-06,89
2009-07,95
2009-08,94
2009-09,92
2009-10,88
2009-11,86
2009-12,90
2010-01,85
2010-02,84
2010-03,84
2010-04,82
2010-05,80
2010-06,88
2010-07,85
2010-08,86
2010-09,83
2010-10,82
2010-11,79
2010-12,86
2011-01,80
2011-02,81
2011-03,81
2011-04,84
2011-05,82
2011-06,85
2011-07,90
2011-08,90
2011-09,85
2011-10,85
2011-11,81
2011-12,87
2012-01,82
2012-02,82
2012-03,82
2012-04,80
2012-05,81
2012-06,81
2012-07,87
2012-08,86
2012-09,82
2012-10,83
2012-11,81
2012-12,88
2013-01,83
2013-02,81
2013-03,80
2013-04,80
2013-05,79
2013-06,78
2013-07,84
2013-08,82
2013-09,78
2013-10,77
2013-11,76
2013-12,82
2014-01,80
2014-02,74
2014-03,77
2014-04,77
2014-05,76
2014-06,77
2014-07,81
2014-08,81
2014-09,80
2014-10,77
2014-11,75
2014-12,77
2015-01,74
2015-02,72
2015-03,73
2015-04,73
2015-05,70
2015-06,75
2015-07,77
2015-08,76
2015-09,71
2015-10,72
2015-11,70
2015-12,72
2016-01,58
2016-02,59
2016-03,59
2016-04,59
2016-05,61
2016-06,66
2016-07,67
2016-08,68
2016-09,65
2016-10,64
2016-11,67
2016-12,67
2017-01,63
2017-02,64
2017-03,63
2017-04,65
2017-05,62
2017-06,64
2017-07,64
2017-08,63
2017-09,59
2017-10,59
2017-11,58
2017-12,61
2018-01,67
