Category: All categories

Month,Under Armour: (Worldwide)
2004-01,14
2004-02,13
2004-03,11
2004-04,10
2004-05,10
2004-06,11
2004-07,13
2004-08,17
2004-09,17
2004-10,19
2004-11,19
2004-12,24
2005-01,18
2005-02,16
2005-03,16
2005-04,14
2005-05,13
2005-06,14
2005-07,16
2005-08,20
2005-09,21
2005-10,23
2005-11,34
2005-12,31
2006-01,18
2006-02,18
2006-03,18
2006-04,19
2006-05,18
2006-06,19
2006-07,22
2006-08,25
2006-09,24
2006-10,26
2006-11,28
2006-12,33
2007-01,23
2007-02,25
2007-03,21
2007-04,21
2007-05,19
2007-06,19
2007-07,22
2007-08,26
2007-09,24
2007-10,27
2007-11,33
2007-12,37
2008-01,30
2008-02,31
2008-03,25
2008-04,25
2008-05,25
2008-06,22
2008-07,24
2008-08,27
2008-09,25
2008-10,28
2008-11,35
2008-12,40
2009-01,33
2009-02,27
2009-03,25
2009-04,23
2009-05,21
2009-06,22
2009-07,23
2009-08,27
2009-09,25
2009-10,30
2009-11,33
2009-12,43
2010-01,31
2010-02,28
2010-03,26
2010-04,25
2010-05,23
2010-06,23
2010-07,26
2010-08,29
2010-09,29
2010-10,31
2010-11,41
2010-12,48
2011-01,39
2011-02,32
2011-03,31
2011-04,30
2011-05,28
2011-06,28
2011-07,31
2011-08,36
2011-09,38
2011-10,39
2011-11,49
2011-12,54
2012-01,43
2012-02,37
2012-03,36
2012-04,35
2012-05,34
2012-06,34
2012-07,42
2012-08,43
2012-09,41
2012-10,45
2012-11,56
2012-12,58
2013-01,46
2013-02,44
2013-03,47
2013-04,41
2013-05,38
2013-06,38
2013-07,44
2013-08,50
2013-09,46
2013-10,49
2013-11,65
2013-12,77
2014-01,57
2014-02,53
2014-03,51
2014-04,48
2014-05,45
2014-06,43
2014-07,51
2014-08,66
2014-09,55
2014-10,55
2014-11,73
2014-12,79
2015-01,60
2015-02,61
2015-03,58
2015-04,64
2015-05,62
2015-06,61
2015-07,69
2015-08,72
2015-09,67
2015-10,67
2015-11,85
2015-12,88
2016-01,73
2016-02,71
2016-03,74
2016-04,75
2016-05,71
2016-06,75
2016-07,76
2016-08,83
2016-09,69
2016-10,72
2016-11,91
2016-12,95
2017-01,72
2017-02,78
2017-03,70
2017-04,72
2017-05,65
2017-06,70
2017-07,78
2017-08,80
2017-09,71
2017-10,74
2017-11,100
2017-12,94
2018-01,91
