Category: All categories

Month,AMRS: (Worldwide)
2004-01,59
2004-02,38
2004-03,40
2004-04,52
2004-05,50
2004-06,20
2004-07,31
2004-08,26
2004-09,39
2004-10,37
2004-11,41
2004-12,31
2005-01,42
2005-02,58
2005-03,100
2005-04,90
2005-05,58
2005-06,40
2005-07,36
2005-08,53
2005-09,59
2005-10,56
2005-11,50
2005-12,51
2006-01,56
2006-02,42
2006-03,68
2006-04,50
2006-05,42
2006-06,58
2006-07,56
2006-08,59
2006-09,57
2006-10,59
2006-11,54
2006-12,59
2007-01,54
2007-02,67
2007-03,77
2007-04,87
2007-05,68
2007-06,69
2007-07,55
2007-08,53
2007-09,68
2007-10,62
2007-11,58
2007-12,57
2008-01,64
2008-02,66
2008-03,67
2008-04,61
2008-05,55
2008-06,53
2008-07,59
2008-08,68
2008-09,77
2008-10,80
2008-11,75
2008-12,80
2009-01,68
2009-02,81
2009-03,78
2009-04,64
2009-05,60
2009-06,61
2009-07,59
2009-08,57
2009-09,63
2009-10,55
2009-11,60
2009-12,57
2010-01,57
2010-02,53
2010-03,67
2010-04,60
2010-05,61
2010-06,60
2010-07,57
2010-08,55
2010-09,73
2010-10,74
2010-11,70
2010-12,69
2011-01,72
2011-02,74
2011-03,77
2011-04,73
2011-05,64
2011-06,66
2011-07,69
2011-08,71
2011-09,65
2011-10,58
2011-11,61
2011-12,59
2012-01,55
2012-02,56
2012-03,60
2012-04,48
2012-05,45
2012-06,47
2012-07,48
2012-08,48
2012-09,44
2012-10,43
2012-11,40
2012-12,41
2013-01,42
2013-02,41
2013-03,40
2013-04,39
2013-05,35
2013-06,31
2013-07,32
2013-08,31
2013-09,33
2013-10,29
2013-11,30
2013-12,33
2014-01,29
2014-02,38
2014-03,40
2014-04,31
2014-05,30
2014-06,26
2014-07,28
2014-08,26
2014-09,28
2014-10,26
2014-11,25
2014-12,28
2015-01,26
2015-02,28
2015-03,30
2015-04,26
2015-05,23
2015-06,23
2015-07,23
2015-08,21
2015-09,25
2015-10,26
2015-11,22
2015-12,23
2016-01,22
2016-02,24
2016-03,28
2016-04,28
2016-05,28
2016-06,43
2016-07,27
2016-08,48
2016-09,39
2016-10,84
2016-11,67
2016-12,47
2017-01,43
2017-02,46
2017-03,46
2017-04,47
2017-05,45
2017-06,39
2017-07,34
2017-08,36
2017-09,31
2017-10,29
2017-11,35
2017-12,31
2018-01,32
