Category: All categories

Month,BABA: (Worldwide)
2004-01,20
2004-02,21
2004-03,19
2004-04,20
2004-05,20
2004-06,21
2004-07,21
2004-08,21
2004-09,20
2004-10,21
2004-11,20
2004-12,22
2005-01,22
2005-02,22
2005-03,21
2005-04,21
2005-05,22
2005-06,23
2005-07,23
2005-08,23
2005-09,21
2005-10,23
2005-11,23
2005-12,26
2006-01,25
2006-02,25
2006-03,25
2006-04,26
2006-05,26
2006-06,26
2006-07,25
2006-08,26
2006-09,25
2006-10,25
2006-11,26
2006-12,28
2007-01,27
2007-02,26
2007-03,27
2007-04,27
2007-05,29
2007-06,28
2007-07,30
2007-08,30
2007-09,29
2007-10,31
2007-11,30
2007-12,34
2008-01,34
2008-02,32
2008-03,33
2008-04,32
2008-05,35
2008-06,36
2008-07,38
2008-08,42
2008-09,37
2008-10,36
2008-11,39
2008-12,43
2009-01,45
2009-02,43
2009-03,41
2009-04,40
2009-05,42
2009-06,41
2009-07,40
2009-08,43
2009-09,40
2009-10,39
2009-11,41
2009-12,43
2010-01,45
2010-02,44
2010-03,45
2010-04,45
2010-05,42
2010-06,43
2010-07,44
2010-08,45
2010-09,43
2010-10,44
2010-11,48
2010-12,51
2011-01,48
2011-02,47
2011-03,46
2011-04,90
2011-05,49
2011-06,62
2011-07,50
2011-08,48
2011-09,46
2011-10,48
2011-11,51
2011-12,57
2012-01,55
2012-02,56
2012-03,58
2012-04,58
2012-05,51
2012-06,51
2012-07,51
2012-08,53
2012-09,50
2012-10,45
2012-11,47
2012-12,55
2013-01,50
2013-02,49
2013-03,52
2013-04,49
2013-05,52
2013-06,54
2013-07,65
2013-08,62
2013-09,55
2013-10,54
2013-11,56
2013-12,60
2014-01,60
2014-02,56
2014-03,58
2014-04,58
2014-05,59
2014-06,61
2014-07,65
2014-08,63
2014-09,67
2014-10,64
2014-11,73
2014-12,72
2015-01,70
2015-02,68
2015-03,66
2015-04,66
2015-05,68
2015-06,69
2015-07,71
2015-08,85
2015-09,72
2015-10,70
2015-11,73
2015-12,80
2016-01,82
2016-02,74
2016-03,75
2016-04,73
2016-05,80
2016-06,76
2016-07,78
2016-08,74
2016-09,75
2016-10,78
2016-11,81
2016-12,87
2017-01,83
2017-02,80
2017-03,76
2017-04,83
2017-05,75
2017-06,83
2017-07,89
2017-08,100
2017-09,87
2017-10,80
2017-11,83
2017-12,92
2018-01,91
