Date,Open,High,Low,Close,Adj Close,Volume
1995-12-01,15.500000,16.250000,15.375000,15.875000,15.875000,290600
1995-12-04,15.500000,15.750000,15.375000,15.375000,15.375000,44600
1995-12-05,15.375000,16.375000,15.125000,16.312500,16.312500,490900
1995-12-06,16.125000,16.250000,14.875000,15.375000,15.375000,515400
1995-12-07,15.125000,15.750000,15.125000,15.750000,15.750000,103600
1995-12-08,15.875000,16.375000,15.500000,16.125000,16.125000,118300
1995-12-11,16.125000,16.625000,16.125000,16.125000,16.125000,219300
1995-12-12,16.125000,16.875000,16.125000,16.125000,16.125000,289200
1995-12-13,16.375000,16.375000,16.000000,16.000000,16.000000,48500
1995-12-14,16.250000,16.375000,15.500000,15.625000,15.625000,56000
1995-12-15,15.875000,16.125000,15.625000,15.875000,15.875000,90100
1995-12-18,15.625000,15.875000,14.750000,14.875000,14.875000,159900
1995-12-19,14.750000,15.000000,14.625000,14.875000,14.875000,111000
1995-12-20,15.000000,15.125000,14.875000,15.125000,15.125000,213700
1995-12-21,15.000000,15.125000,14.875000,15.000000,15.000000,175300
1995-12-22,15.250000,15.250000,14.875000,14.937500,14.937500,74900
1995-12-26,15.250000,15.250000,15.000000,15.250000,15.250000,62300
1995-12-27,15.250000,15.250000,14.875000,15.250000,15.250000,58400
1995-12-28,15.250000,16.125000,14.875000,15.968700,15.968700,161800
1995-12-29,16.000000,16.250000,15.625000,16.125000,16.125000,253100
1996-01-02,16.250000,16.250000,15.625000,15.750000,15.750000,55700
1996-01-03,15.625000,15.875000,15.500000,15.500000,15.500000,36300
1996-01-04,15.500000,15.500000,14.625000,15.000000,15.000000,89200
1996-01-05,15.000000,15.125000,14.750000,15.000000,15.000000,48600
1996-01-08,14.750000,15.125000,14.750000,14.750000,14.750000,14600
1996-01-09,15.000000,15.250000,14.250000,14.250000,14.250000,74800
1996-01-10,14.250000,14.625000,13.375000,13.750000,13.750000,147100
1996-01-11,13.500000,14.000000,13.500000,13.875000,13.875000,121800
1996-01-12,14.000000,14.250000,13.625000,14.250000,14.250000,105600
1996-01-15,14.125000,15.500000,14.125000,15.500000,15.500000,175000
1996-01-16,15.375000,16.375000,15.125000,16.000000,16.000000,205800
1996-01-17,15.750000,16.000000,15.375000,15.750000,15.750000,74000
1996-01-18,15.875000,16.000000,15.500000,15.875000,15.875000,79000
1996-01-19,15.750000,16.000000,15.500000,15.750000,15.750000,65200
1996-01-22,15.500000,17.000000,15.500000,16.750000,16.750000,350600
1996-01-23,16.875000,17.500000,16.750000,17.125000,17.125000,269000
1996-01-24,17.250000,19.125000,17.125000,19.125000,19.125000,740000
1996-01-25,19.000000,19.125000,18.375000,19.000000,19.000000,392200
1996-01-26,19.000000,19.125000,18.375000,18.750000,18.750000,182500
1996-01-29,18.750000,18.875000,18.625000,18.750000,18.750000,139200
1996-01-30,18.750000,19.750000,18.625000,19.625000,19.625000,249900
1996-01-31,19.625000,19.625000,18.875000,19.500000,19.500000,218900
1996-02-01,19.375000,19.375000,18.875000,19.000000,19.000000,93400
1996-02-02,19.000000,19.000000,18.625000,18.625000,18.625000,64200
1996-02-05,18.875000,19.000000,18.500000,19.000000,19.000000,136900
1996-02-06,19.125000,19.625000,18.875000,19.500000,19.500000,110800
1996-02-07,19.375000,19.625000,18.875000,19.125000,19.125000,160700
1996-02-08,18.875000,19.625000,18.375000,19.625000,19.625000,442100
1996-02-09,19.125000,19.500000,18.875000,19.500000,19.500000,109800
1996-02-12,19.500000,21.125000,19.250000,20.875000,20.875000,419100
1996-02-13,20.625000,20.750000,20.000000,20.250000,20.250000,277400
1996-02-14,20.375000,20.500000,19.750000,20.125000,20.125000,126700
1996-02-15,19.500000,20.625000,19.250000,20.375000,20.375000,230600
1996-02-16,20.125000,21.375000,20.125000,20.875000,20.875000,291000
1996-02-20,20.875000,21.000000,20.500000,21.000000,21.000000,74400
1996-02-21,21.000000,21.750000,21.000000,21.625000,21.625000,286400
1996-02-22,21.625000,21.750000,21.125000,21.500000,21.500000,153900
1996-02-23,21.750000,21.875000,21.250000,21.625000,21.625000,66700
1996-02-26,21.625000,21.625000,21.000000,21.203100,21.203100,116300
1996-02-27,21.000000,21.000000,20.125000,20.250000,20.250000,125100
1996-02-28,20.250000,20.500000,19.625000,19.625000,19.625000,166300
1996-02-29,19.500000,19.750000,19.250000,19.375000,19.375000,96800
1996-03-01,19.625000,19.625000,18.375000,18.500000,18.500000,154000
1996-03-04,18.375000,19.250000,18.375000,19.250000,19.250000,192300
1996-03-05,19.375000,20.625000,19.250000,20.625000,20.625000,258900
1996-03-06,20.625000,21.750000,20.500000,21.125000,21.125000,367100
1996-03-07,21.000000,21.375000,20.000000,20.375000,20.375000,100100
1996-03-08,19.500000,19.750000,18.250000,18.375000,18.375000,242800
1996-03-11,18.000000,19.375000,17.625000,19.062500,19.062500,369100
1996-03-12,19.250000,19.500000,18.750000,19.250000,19.250000,125400
1996-03-13,19.500000,19.750000,19.375000,19.750000,19.750000,145400
1996-03-14,19.750000,20.250000,19.500000,20.125000,20.125000,301000
1996-03-15,19.875000,20.375000,19.875000,20.250000,20.250000,83300
1996-03-18,20.125000,21.000000,20.000000,20.500000,20.500000,274700
1996-03-19,20.500000,21.125000,20.500000,20.625000,20.625000,135900
1996-03-20,20.625000,21.000000,20.062500,20.375000,20.375000,146300
1996-03-21,20.500000,20.500000,20.000000,20.375000,20.375000,215100
1996-03-22,20.375000,22.125000,19.750000,22.000000,22.000000,791800
1996-03-25,22.500000,23.250000,19.250000,19.500000,19.500000,1023300
1996-03-26,19.625000,19.750000,18.125000,19.000000,19.000000,334400
1996-03-27,18.625000,19.250000,18.500000,19.000000,19.000000,148200
1996-03-28,19.375000,19.375000,18.875000,19.125000,19.125000,74800
1996-03-29,19.125000,19.500000,18.875000,19.125000,19.125000,105700
1996-04-01,18.875000,19.375000,18.875000,19.125000,19.125000,51800
1996-04-02,19.000000,19.875000,18.750000,19.750000,19.750000,201200
1996-04-03,19.000000,19.375000,18.625000,18.875000,18.875000,600100
1996-04-04,19.000000,19.125000,18.750000,18.875000,18.875000,118300
1996-04-08,18.500000,18.750000,18.125000,18.250000,18.250000,251500
1996-04-09,18.125000,18.250000,17.625000,17.625000,17.625000,244000
1996-04-10,18.000000,18.250000,17.750000,17.875000,17.875000,98300
1996-04-11,18.125000,18.250000,17.750000,17.875000,17.875000,181300
1996-04-12,17.625000,18.750000,17.625000,18.375000,18.375000,221200
1996-04-15,18.500000,18.750000,18.375000,18.500000,18.500000,218000
1996-04-16,18.375000,18.500000,17.875000,17.875000,17.875000,168100
1996-04-17,18.125000,18.250000,17.750000,18.000000,18.000000,191900
1996-04-18,17.875000,18.125000,17.375000,17.375000,17.375000,205700
1996-04-19,17.375000,17.750000,17.187500,17.187500,17.187500,163700
1996-04-22,17.375000,17.500000,16.125000,16.562500,16.562500,410400
1996-04-23,16.625000,17.500000,16.500000,17.000000,17.000000,281800
1996-04-24,17.125000,17.125000,16.250000,16.437500,16.437500,230600
1996-04-25,16.625000,17.875000,16.375000,17.875000,17.875000,239400
1996-04-26,18.000000,18.000000,16.875000,17.000000,17.000000,212900
1996-04-29,17.375000,17.500000,17.125000,17.375000,17.375000,114600
1996-04-30,17.500000,17.625000,17.125000,17.125000,17.125000,22500
1996-05-01,17.125000,17.500000,16.875000,16.875000,16.875000,106600
1996-05-02,17.125000,17.125000,16.750000,16.875000,16.875000,99400
1996-05-03,16.750000,18.250000,16.500000,17.750000,17.750000,378000
1996-05-06,17.750000,18.000000,17.250000,17.625000,17.625000,91500
