Date,Open,High,Low,Close,Adj Close,Volume
2005-11-17,28.000000,28.010000,24.809999,25.450001,25.450001,10566900
2005-11-18,25.549999,27.510000,24.799999,27.100000,27.100000,2155300
2005-11-21,27.100000,27.950001,25.750000,26.600000,26.600000,571700
2005-11-22,26.730000,26.730000,25.030001,25.100000,25.100000,375900
2005-11-23,25.150000,25.580000,25.020000,25.139999,25.139999,510000
2005-11-25,26.000000,26.730000,25.469999,26.000000,26.000000,71100
2005-11-28,27.389999,27.400000,25.059999,25.160000,25.160000,376200
2005-11-29,25.570000,25.719999,24.770000,24.780001,24.780001,271200
2005-11-30,24.950001,25.200001,24.750000,25.000000,25.000000,109400
2005-12-01,25.230000,26.000000,24.719999,25.440001,25.440001,148100
2005-12-02,25.719999,26.250000,25.270000,25.680000,25.680000,101300
2005-12-05,26.000000,26.000000,24.780001,25.040001,25.040001,171700
2005-12-06,25.469999,25.490000,24.299999,24.420000,24.420000,200600
2005-12-07,25.690001,25.690001,24.750000,25.000000,25.000000,321400
2005-12-08,25.350000,27.000000,25.219999,26.150000,26.150000,229200
2005-12-09,26.400000,27.900000,26.250000,27.430000,27.430000,182200
2005-12-12,28.090000,29.139999,27.500000,27.610001,27.610001,241400
2005-12-13,28.389999,28.389999,27.700001,27.830000,27.830000,91600
2005-12-14,29.250000,29.250000,26.600000,28.100000,28.100000,317500
2005-12-15,29.100000,29.400000,27.600000,28.400000,28.400000,267300
2005-12-16,29.950001,30.830000,28.780001,30.780001,30.780001,1173700
2005-12-19,30.990000,31.000000,29.530001,30.040001,30.040001,375200
2005-12-20,29.690001,30.219999,28.969999,29.020000,29.020000,286600
2005-12-21,28.910000,29.129999,27.900000,28.809999,28.809999,357500
2005-12-22,28.740000,28.950001,28.230000,28.770000,28.770000,100000
2005-12-23,28.889999,28.889999,27.209999,28.020000,28.020000,233600
2005-12-27,28.760000,30.150000,28.690001,29.990000,29.990000,330700
2005-12-28,30.500000,33.000000,29.990000,32.430000,32.430000,461500
2005-12-29,33.000000,34.750000,32.509998,34.720001,34.720001,1090800
2005-12-30,34.709999,34.709999,33.490002,33.990002,33.990002,507600
2006-01-03,34.500000,34.549999,33.220001,33.860001,33.860001,363700
2006-01-04,34.020000,34.020000,32.139999,33.150002,33.150002,588300
2006-01-05,33.529999,34.860001,32.509998,32.540001,32.540001,544900
2006-01-06,32.750000,32.830002,31.230000,32.570000,32.570000,539400
2006-01-09,33.070000,33.939999,31.799999,33.689999,33.689999,515500
2006-01-10,34.130001,35.400002,33.740002,34.860001,34.860001,661100
2006-01-11,34.410000,37.590000,34.380001,36.750000,36.750000,664200
2006-01-12,37.880001,38.040001,34.650002,34.849998,34.849998,1301600
2006-01-13,35.599998,36.549999,33.849998,33.980000,33.980000,786000
2006-01-17,33.980000,35.000000,33.380001,34.060001,34.060001,416500
2006-01-18,33.650002,35.299999,32.529999,35.250000,35.250000,870500
2006-01-19,35.939999,36.000000,34.119999,34.240002,34.240002,1061000
2006-01-20,34.430000,35.189999,33.810001,33.849998,33.849998,604900
2006-01-23,34.939999,34.970001,32.360001,32.560001,32.560001,736300
2006-01-24,32.299999,33.099998,31.700001,31.799999,31.799999,563500
2006-01-25,31.670000,32.110001,29.080000,30.129999,30.129999,1645000
2006-01-26,31.990000,35.599998,31.200001,35.439999,35.439999,2073900
2006-01-27,35.980000,37.910000,35.250000,35.910000,35.910000,1159500
2006-01-30,35.880001,39.849998,34.750000,39.389999,39.389999,1031400
2006-01-31,39.500000,40.200001,38.099998,40.000000,40.000000,1165900
2006-02-01,40.750000,41.220001,38.230000,38.490002,38.490002,782400
2006-02-02,38.509998,40.099998,37.529999,37.990002,37.990002,678400
2006-02-03,37.700001,38.000000,36.070000,36.419998,36.419998,305000
2006-02-06,36.919998,38.419998,36.680000,37.500000,37.500000,458700
2006-02-07,37.650002,37.650002,35.400002,35.549999,35.549999,382800
2006-02-08,35.820000,37.299999,35.610001,37.070000,37.070000,356000
2006-02-09,36.580002,38.299999,36.580002,37.830002,37.830002,238800
2006-02-10,37.570000,37.570000,35.599998,37.200001,37.200001,336900
2006-02-13,37.150002,37.980000,36.310001,37.090000,37.090000,228900
2006-02-14,36.900002,36.900002,35.080002,35.799999,35.799999,524800
2006-02-15,35.500000,36.849998,34.840000,35.110001,35.110001,304000
2006-02-16,35.169998,36.849998,35.049999,36.529999,36.529999,241800
2006-02-17,36.880001,38.340000,36.509998,38.209999,38.209999,576900
2006-02-21,39.500000,39.740002,36.980000,37.480000,37.480000,697200
2006-02-22,37.139999,37.950001,36.880001,37.529999,37.529999,378900
2006-02-23,37.349998,38.599998,36.860001,38.400002,38.400002,357000
2006-02-24,38.590000,40.130001,37.900002,39.669998,39.669998,406600
2006-02-27,40.500000,43.599998,40.099998,43.299999,43.299999,1138300
2006-02-28,43.209999,44.599998,41.180000,43.900002,43.900002,880600
2006-03-01,43.970001,45.090000,43.279999,44.070000,44.070000,504500
2006-03-02,43.799999,43.900002,42.209999,43.380001,43.380001,835100
2006-03-03,43.000000,44.000000,42.500000,43.130001,43.130001,144600
2006-03-06,43.560001,43.990002,42.500000,42.750000,42.750000,335000
2006-03-07,42.950001,43.000000,39.799999,40.450001,40.450001,553900
2006-03-08,40.450001,40.490002,39.000000,39.520000,39.520000,325500
2006-03-09,39.029999,40.450001,39.000000,39.000000,39.000000,134400
2006-03-10,38.770000,38.980000,37.580002,38.080002,38.080002,425200
2006-03-13,38.500000,39.919998,37.889999,37.950001,37.950001,237100
2006-03-14,38.070000,40.790001,38.000000,40.680000,40.680000,551600
2006-03-15,40.779999,42.750000,40.490002,41.740002,41.740002,739800
2006-03-16,42.200001,42.220001,40.110001,41.119999,41.119999,325000
2006-03-17,40.869999,41.299999,40.040001,40.779999,40.779999,595800
2006-03-20,41.930000,41.930000,38.560001,39.770000,39.770000,650900
2006-03-21,39.680000,40.830002,39.220001,39.860001,39.860001,349600
2006-03-22,39.990002,40.029999,38.970001,39.500000,39.500000,217000
2006-03-23,39.500000,39.660000,39.000000,39.349998,39.349998,269500
2006-03-24,39.400002,40.150002,39.189999,39.439999,39.439999,245000
2006-03-27,39.240002,40.549999,39.009998,39.939999,39.939999,335400
2006-03-28,40.180000,40.279999,37.840000,38.630001,38.630001,430600
2006-03-29,38.939999,39.990002,38.820000,39.340000,39.340000,287600
2006-03-30,39.389999,39.840000,38.099998,38.599998,38.599998,311100
2006-03-31,38.110001,38.599998,38.099998,38.160000,38.160000,176100
2006-04-03,38.570000,38.810001,37.150002,37.619999,37.619999,575300
2006-04-04,37.200001,37.389999,35.540001,36.180000,36.180000,1003000
2006-04-05,35.950001,36.900002,35.950001,36.759998,36.759998,409400
2006-04-06,36.950001,37.400002,36.820000,37.250000,37.250000,316700
2006-04-07,36.660000,37.000000,35.259998,35.669998,35.669998,756600
2006-04-10,35.849998,35.849998,34.849998,35.400002,35.400002,411900
2006-04-11,35.720001,35.849998,34.599998,34.660000,34.660000,242500
2006-04-12,34.750000,36.930000,34.650002,36.090000,36.090000,313900
2006-04-13,36.599998,36.880001,35.410000,35.790001,35.790001,193500
2006-04-17,36.450001,38.349998,36.000000,37.450001,37.450001,385000
2006-04-18,37.959999,38.950001,37.240002,38.680000,38.680000,517700
2006-04-19,39.299999,42.000000,38.689999,42.000000,42.000000,927300
2006-04-20,39.650002,40.020000,37.840000,38.590000,38.590000,954600
2006-04-21,39.459999,39.900002,38.150002,38.459999,38.459999,394900
2006-04-24,39.700001,39.799999,38.500000,39.250000,39.250000,416500
2006-04-25,39.599998,40.770000,39.000000,40.299999,40.299999,411300
2006-04-26,40.599998,40.790001,39.299999,39.709999,39.709999,283600
2006-04-27,39.389999,39.759998,37.310001,37.709999,37.709999,304300
2006-04-28,37.750000,39.139999,37.509998,38.419998,38.419998,288700
2006-05-01,38.790001,39.470001,38.700001,39.099998,39.099998,274200
2006-05-02,39.240002,39.480000,38.320000,39.040001,39.040001,104200
2006-05-03,39.259998,40.000000,39.000000,39.959999,39.959999,184400
2006-05-04,40.000000,40.380001,39.480000,39.740002,39.740002,231900
2006-05-05,40.139999,40.290001,39.020000,39.349998,39.349998,199400
2006-05-08,39.500000,40.000000,39.080002,39.480000,39.480000,344900
2006-05-09,39.799999,40.160000,39.500000,39.660000,39.660000,101900
2006-05-10,40.070000,40.200001,38.070000,38.119999,38.119999,430000
2006-05-11,38.160000,39.599998,35.209999,35.290001,35.290001,555000
